psmiles,value
*OC(=O)CCCCC(=O)OCCCCCC(=O)NCCNC(=O)CCCCC*,1.1755
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2c(ccc(c2)*)C)cc1,1.38803
*Oc1cc(c(cc1)N=Cc1ccc(cc1)C=Nc1c(cc(cc1)OCCCCCCCCCC*)C)C,1.144
*c1nc(nc(n1)Oc1c(cccc1)C(=O)Oc1c2C(=O)c3c(C(=O)c2ccc1)cccc3OC(=O)c1c(cccc1)O*)N(CC)c1ccccc1,1.174
*N(C(=O)*)CCCCCC,1
*NC(=O)CCCCCCCCC(=O)NCc1ccc(cc1)C*,1.157666667
*C(C*)C(=O)SCCC,1.346
*NC(=O)C(C(=O)NCCCCC*)CCCCCCCCCCCC,0.996
*Oc1cc(c(cc1)NC(=O)c1c(cc(cc1)C(c1cc(c(cc1)C(=O)O)C(=O)Nc1c(ccc(c1)*)N)(C(F)(F)F)C(F)(F)F)C(=O)O)N,1.413
*Oc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)C(c1ccc(cc1)*)(C(F)(F)F)C(F)(F)F,1.63
*N1C(=O)c2c(C1=O)cc(cc2)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1cc2c(C(=O)N(C2=O)c2cc(ccc2)S(=O)(=O)c2cc(ccc2)*)cc1,1.37
*OC(=O)CCCCCCCCC(=O)OCC*,1.16104
*NC(C(=O)*)CCC(=O)NCCO,1.3
*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)C(=O)Nc1ccc(cc1)NC(=O)c1ccc(cc1)*,1.3
*O[Si](*)(c1ccc(cc1)C)c1ccccc1,1.24
*Oc1ccc(cc1)c1ccc(cc1)OC(=O)c1cc(ccc1)C(=O)*,1.39
*OC(C*)COCCCCCC,0.966
*SCCCCCCC(=O)NCCc1ccc(cc1)CCNC(=O)CCCCCC*,1.132
*C[Se]*,2.9395
*NC(=O)Cc1ccc(cc1)CC(=O)NCCCCCCCC*,1.152
*c1cc2c(C(=O)N(C2=O)c2cc(ccc2)S(=O)(=O)c2cc(ccc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)cc1,1.48075
*NC(=O)CCCCCCCCCCCCCCCCC(=O)NCCCCCCCC*,1.03
*OC(CC(=O)*)C(C)C,1.21
*Oc1c(cc(cc1C)C(c1cc(c(c(c1)C)OCC(COc1ccc(cc1)C(c1ccc(cc1)OCC(C*)O)(C)C)O)C)(C)C)C,1.154
*OC(*)CCC,1
*Oc1c(cc(cc1C)c1cc(c(c(c1)C)Oc1ccc(cc1)C(=O)c1ccc(cc1)*)C)C,1.136
*c1nc2c([nH]1)ccc(c2)c1ccc2c(nc([nH]2)c2ccc3sc4c(c3c2)cc(cc4)*)c1,1.218
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cc(cc2C)C(c2cc(c(c(c2)C)Oc2ccc(cc2)*)C)c2c3c(ccc2)cccc3)C)cc1,1.243
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1c(cc(cc1C)Cc1cc(c(c(c1)C)*)C)C,1.184
*C(C*)C(=O)NC(C)C,1.1145
*C(C*)(CC(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,1.155
*NC(C(=O)*)CCC(=O)OCC,1.225
*Oc1c(cc(cc1C)S(=O)(=O)c1cc(c(c(c1)C)OCC(C*)O)C)C,1.274
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2c(cc(cc2C)C(c2cc(c(c(c2)C)Oc2ccc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(=O)*)C)c2c3c(ccc2)cccc3)C)cc1,1.2382
*Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)c1cc(ccc1)C(=O)c1ccc(cc1)*,1.32
*c1oc(nn1)c1ccc(cc1)*,1.54
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(=O)N(C2=O)CCCCCCCCC*)cc1,1.27
*NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)*)C(C)C)C(C)C)C)C,1.26
*c1cc2c(C(=O)N(C2=O)c2c(c3c(C(CC3)(C)C)c(c2C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)cc1,1.3263
*C(C*)CC(CC)CC,0.86
*Oc1c(c(c(c(c1F)F)COC(c1cc(ccc1)C(OCc1c(c(c(c(c1F)F)Oc1ccc(cc1)Cc1ccc(cc1)*)F)F)(C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)F)F,1.548
*Sc1ccc(cc1)Cc1ccc(cc1)SC(=O)*,1.238
*NC(C(=O)NCCC(=O)*)C,1.27
*c1sc(cc1CCCCCCCC)*,1.063333333
*Oc1c(cc(cc1)C(c1cc(c(cc1)OC(=O)c1ccc(cc1)C(=O)*)C)(C)C)C,1.167
*OCC(C*)(CCl)CCl,1.43
*C(C*)C(=O)N,1.21
*OCCCCC(=O)NCc1ccc(cc1)CNC(=O)CCCC*,1.178
*Oc1ccc(cc1)C(c1ccc(cc1)OC(=O)*)(c1ccccc1)c1ccccc1,1.27
*NC(=O)CCCCCCCCCCCCCCC(=O)NCCc1ccc(cc1)CC*,1.077
*N1C(=O)c2c(C1=O)cc(cc2)Oc1cc2c(C(CC32CC(c2ccc(cc32)Oc2cc3c(C(=O)N(C3=O)c3cc(ccc3)*)cc2)(C)C)(C)C)cc1,1.22
*C1OC(OC(C1)C*)CCC,1.12625
*NC(C(=O)*)CCCCNC(=O)OCc1ccccc1,1.253333333
*N1C(=O)c2c(C1=O)cc(cc2)S(=O)(=O)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)Oc2ccc(cc2)*)cc1,1.407
*NC(=O)CCCCCCCCCCCCCCCCCCCCC(=O)NCCCCCCCC*,1.021
*NC(CC(=O)*)C(=O)OCC,1.26
*/C=C/CCC*,1.0495
*C(C*)C1CCC(CC1)C,0.9249
*C1(c2c(C(=O)O1)cccc2)c1c(cc(c(c1)C(C)C)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1c(cc(c(c1)C)*)C(C)C)C,1.172
*NC(=O)CCCCC(=O)NCCCP(CCC*)CCCCCCCC,1.08
*Oc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)Nc1ccc(cc1)*,1.26
*C(CC(C*)c1ccc(cc1)F)(C#N)C#N,1.2
*Nc1ccc(cc1)C(=O)*,1.498
*OC*,1.423151316
*c1cc2c(C(=O)N(C2=O)c2ccc(cc2)C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccc(cc2)NC(=O)*)cc1,1.244666667
*Oc1c2c(c(cc1)C(=O)c1ccc(cc1)Oc1ccc(cc1)C1(c3ccccc3-c3ccccc13)c1ccc(cc1)*)cccc2,1.356
*OC(=O)c1ccc(cc1)C(=O)OCc1ccc(cc1)C*,1.4
*C(CC(C*)c1ccc(cc1)Cl)(C#N)C#N,1.215
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1ccc(cc1)*,1.423585
*=C=C=C(C(=*)COC(=O)Nc1ccccc1)COC(=O)Nc1ccccc1,1.37
*N1C(=O)c2c(C1=O)c(ccc2)c1cc2c(C(=O)N(C2=O)c2ccc(cc2)*)cc1,1.3665
*N(CC*)C(=O)c1ccc(cc1)C,1.16
*C(C*)C(=O)N(c1cc(ccc1)Cl)O,1.41
*O[Si](CCC(C(C(C(CC[Si](*)(CCC(F)(F)F)C)(F)F)(F)F)(F)F)(F)F)(CCC(F)(F)F)C,1.54
*NC(=O)CCCCCCCCCCC(=O)NCCCCCC*,1.06
*C(C*)O,1.2820625
*C(C*)(C(=O)OCc1ccccc1)C,1.1875
*c1cc2c(C(=O)N(C2=O)c2c(cc(cc2C)Cc2cc(c(c(c2)C)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C)C)cc1,1.4
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1c(cc(cc1C)Cc1cc(c(c(c1)C)Oc1ccc(cc1)*)C)C,1.3503
*n1c(=O)c2cc3c(cc2c1=O)c(=O)n(c3=O)c1ccc(cc1)Oc1ccc(cc1)c1ccc(cc1)Oc1ccc(cc1)*,1.37205
*NC(=O)CCCCCCCCCCC*,1.013809375
*Oc1ccc(cc1)Oc1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)*,1.33
*C1(c2c(C(=O)O1)cccc2)c1ccc(cc1)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)Oc1ccc(cc1)*,1.307
*C(C*)(C(=O)OCCCCCCCCCCCCCCCCCC)C,0.9686
*SCC*,1.3415
*C1CC2CC(CC(C1)O2)OC(=O)OCCOC(=O)c1ccc(cc1)C(=O)OCCOC(=O)O*,1.18
*Oc1cc(c(cc1)C(c1c(cc(cc1)OC(=O)*)C)c1ccccc1)C,1.26
*Oc1c(c(c(c(c1)C)*)C)Br,1.505
*NC(=O)CCCCCC(=O)NCCCCCCC*,1.0735
*OC(=O)CCC(=O)OCC(C*)(C)C,1.17
*NC(=O)CCCCCCCC(=O)NCCCCCCCCCC*,0.9867
*c1cc2c(C(=O)N(C2=O)c2cc(c(cc2)Oc2ccc(cc2)C(c2ccc(cc2)Oc2c(cc(cc2)N2C(=O)c3c(C2=O)cc(cc3)C(*)(C(F)(F)F)C(F)(F)F)C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(F)(F)F)cc1,1.484
*N1C(=O)c2c(C1=O)cc(cc2)c1cc2c(C(=O)N(C2=O)c2c(cc(cc2)c2cc(c(cc2)*)C)C)cc1,1.36424
