psmiles,value
*c1ccc2c(c1)c(=O)oc(n2)c1cc(cc(c1)N1C(=O)c2c(C1=O)cccc2)c1oc(=O)c2c(ccc(c2)C*)n1,415
*NC(=O)CCCCC(=O)NCCCC*,404
*NC(=O)CCCCC*,390.3909091
*NC(=O)CCCCC(=O)NCCCCCC*,410.5
*NC(=O)CCCCC(=O)NCCCCCCCCC*,372.5
*Nc1ccc(cc1)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)*,370
*NC(=O)c1cc(ccc1)C(=O)NCC(CCC*)(C)C,302
*NC(=O)CCCCC(=O)NCc1cc(ccc1)C*,396.8
*NC(=O)CCCCC(=O)NCC(CCC*)(C)C,305
*NC(=O)CCCCCCCC(=O)NCC(CCC*)(C)C,346
*NC(=O)CCCCCC(=O)NCC(CCC*)(C)C,341
*NC(=O)c1ccc(cc1)C(=O)NCC(CCC*)(C)C,285
*NC(=O)C(=O)NCC(CCC*)(C)C,286
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)*,522.5
*NC(=O)c1ccc(cc1)C(=O)NCCCCCC*,479
*NC(=O)CCCCC(=O)NC*,480
*NC(=O)CCCCCCCCC(=O)NC*,530
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1,425
*NC(=O)c1c(c(c(c(c1Cl)Cl)C(=O)NCCCCCC*)Cl)Cl,364
*Nc1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*,457
*Nc1cc(ccc1)C(=O)c1ccc(cc1)NC(=O)c1cc(ccc1)C(=O)c1ccc(cc1)C(=O)*,388
*Nc1ccc(cc1)NC(=O)c1ccc(cc1)NC(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)*)c1ccccc1,430
*NC(=O)NCCCCCC*,370
*Nc1ccc(cc1)Cc1ccc(cc1)NC(=O)NCCCCCCNC(=O)*,330
