n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.05,0.3252,0.1251,0.1386,0.2266,0.0335,0.1011,61.14
2,O=C(O)c1ccccc1C(=O)O,OCCCO,,,,,,0.5,0.5,,,,,,10.0
2,O=C(O)C1CCCCC1C(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,38.0
5,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,60.0
5,O=C(O)CCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.1,0.245,0.155,0.38,0.12,,,35.3
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-41.12
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.1935,0.0195,0.287,,,,57.08
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5003,0.1816,0.0415,0.2766,,,,53.51
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-42.99
2,O=C(O)CCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-21.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-40.98
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.1455,0.3545,0.2265,0.2735,,,,30.5
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1481,0.2421,0.1101,0.2426,0.2536,0.0035,,89.52
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1475,0.3525,0.217,0.039,0.244,,,35.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.1791,0.3212,0.2421,0.2176,0.04,,,23.0
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.153,0.25,0.097,0.194,0.3005,0.0055,,97.76
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.35,0.15,0.24,0.25,0.01,,,68.45
2,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,82.0
4,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1ccc(C(=O)O)cc1,CCC(CO)(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,,,,0.1,0.4,0.029,0.471,,,,60.13
3,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,,,0.5,0.38,0.12,,,,,23.0
2,O=C(O)c1cccc(C(=O)O)c1,OCCCO,,,,,,0.5,0.5,,,,,,36.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.1825,0.0415,0.276,,,,57.28
