n_components,smiles_1,smiles_2,ratio_1,ratio_2,tg
2,C=C(Cl)C(=O)OC1CCCCC1,C=C(Cl)C(=O)OC1CCCCC1,0.5,0.5,387.0
2,C=CF,C=CF,0.5,0.5,233.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,0.666667,0.333333,445.0
2,C=C(C)C(=O)OC(C)C,C=C(C)C(=O)OC(C)C,0.5,0.5,327.0
2,OCCO,O=C(O)CCC(=O)O,0.5,0.5,272.0
2,C=C(Cl)C(=O)OCC,C=C(Cl)C(=O)OCC,0.5,0.5,366.0
2,Nc1ccc(C(=O)c2ccc(N)cc2)cc1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.5,0.5,584.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CCCCN,0.5,0.5,329.0
2,C=CCC1CCCCC1,C=CCC1CCCCC1,0.5,0.5,348.0
2,Nc1ccc(C(=O)c2cccc(N)c2)cc1,O=C1OC(=O)c2cc(Oc3ccc(Sc4ccc(Oc5ccc6c(c5)C(=O)OC6=O)cc4)cc3)ccc21,0.5,0.5,486.0
2,NCCCCCCC(=O)O,NCCCCCCC(=O)O,0.5,0.5,330.0
2,CC(=O)c1ccc(Oc2ccc(C(C)=O)cc2)cc1,Nc1ccccc1C(=O)c1ccc(Oc2ccc(C(=O)c3ccccc3N)cc2)cc1,0.5,0.5,599.0
2,NCCCCCCN,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,0.333333,0.666667,367.0
2,Nc1cccc(N)c1,c1cc(OCC2CO2)cc(OCC2CO2)c1,0.333333,0.666667,413.0
2,O=C(Cl)Cl,Oc1ccc(C2(c3ccc(O)cc3)CC3CC2C2CCCC32)cc1,0.5,0.5,520.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,CC1CC(N)CC(C)(C)C1,0.5,0.5,357.0
2,C1CCCCOCCC1,C1CCCCOCCC1,0.5,0.5,203.0
2,C=C(C)C(=O)OC1CCCCC1,C=C(C)C(=O)OC1CCCCC1,0.5,0.5,377.0
2,O=C(Cl)Cl,CC(c1ccc(O)cc1)c1ccc(O)cc1,0.5,0.5,403.0
2,Nc1ccc(N)cc1,O=C(c1ccc2c(c1)C(=O)OC2=O)c1ccc2c(c1)C(=O)OC2=O,0.5,0.5,606.0
2,C=COC(C)C,C=COC(C)C,0.5,0.5,270.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,Nc1ccc(Oc2ccc(S(=O)(=O)c3ccc(Oc4ccc(N)cc4)cc3)cc2)cc1,0.666667,0.333333,456.0
2,C=CO,C=COC(O)CCC,0.5,0.5,324.0
2,O=C(Cl)Cl,Oc1ccc(C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F)cc1,0.5,0.5,449.0
2,NCCNCCN,C(COCC1CO1)OCC1CO1,0.285714,0.714286,273.0
2,C=C(F)F,C=C(F)F,0.5,0.5,233.0
2,C=CC(=O)OCC(C)C,C=CC(=O)OCC(C)C,0.5,0.5,249.0
2,C=C(C)C(=O)OCCCCCCCC,C=C(C)C(=O)OCCCCCCCC,0.5,0.5,253.0
2,C=Cc1cc(C)ccc1C,C=Cc1cc(C)ccc1C,0.5,0.5,416.0
2,O=C(O)CCCC(=O)O,Nc1cccc(OCC(O)COc2cccc(N)c2)c1,0.5,0.5,384.0
2,C=C(C)C,C=C(C)C,0.5,0.5,199.0
2,C=CCCCC,C=CCCCC,0.5,0.5,220.0
2,FC(F)=C(F)c1c(F)c(F)c(F)c(F)c1F,FC(F)=C(F)c1c(F)c(F)c(F)c(F)c1F,0.5,0.5,467.0
2,C=[Si](C)C,C=[Si](C)C,0.5,0.5,173.0
2,Nc1ccc(C2(c3ccc(N)cc3)OC(=O)c3ccccc32)cc1,O=C(O)c1ccc(C2(c3ccc(C(=O)O)cc3)OC(=O)c3ccccc32)cc1,0.5,0.5,658.0
2,OCCO,O=C(O)CCCCCCCC(=O)O,0.5,0.5,228.0
2,C=CCCC1CCCCC1,C=CCCC1CCCCC1,0.5,0.5,313.0
2,C=CC(=C)Br,C=CC(=C)Br,0.5,0.5,241.0
2,C=c1ccc(=C)c(C#N)c1,C=c1ccc(=C)c(C#N)c1,0.5,0.5,363.0
2,C=Cc1ccccc1OCCCCCCCC,C=Cc1ccccc1OCCCCCCCC,0.5,0.5,286.0
2,C=CC(=C)C,C=CC(=C)C,0.5,0.5,203.0
2,Nc1cccc(S(=O)(=O)c2cccc(N)c2)c1,c1cc(OCC2CO2)cc(OCC2CO2)c1,0.333333,0.666667,418.0
2,C=CN1CCCC1=O,C=CN1CCCC1=O,0.5,0.5,418.0
2,C=C(C)C(=O)OCCCl,C=C(C)C(=O)OCCCl,0.5,0.5,365.0
2,C=Cc1ccc(Cl)c(Cl)c1,C=Cc1ccc(Cl)c(Cl)c1,0.5,0.5,401.0
2,NCCCCCCCC(=O)O,NCCCCCCCC(=O)O,0.5,0.5,324.0
2,C=CC(=O)OC(C)(C)C,C=CC(=O)OC(C)(C)C,0.5,0.5,315.0
2,OCCC1C=CC(O)C=C1,O=C(O)c1ccc(C(=O)O)cc1,0.5,0.5,368.0
2,C=COCCCCCCCC,C=COCCCCCCCC,0.5,0.5,194.0
2,C=Cc1ccncc1,C=Cc1ccncc1,0.5,0.5,415.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NC1CCC(CC2CCC(N)CC2)CC1,0.666667,0.333333,451.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,0.666667,0.333333,463.0
2,c1cc(OCC2CO2)ccc1Cc1ccc(OCC2CO2)cc1,Nc1ccc(Cc2ccc(N)cc2)cc1,0.666667,0.333333,430.0
2,Cc1cc(C(C)(C)c2ccc(-c3cc(C)c(OC(=O)c4ccc(C(=O)O)cc4)c(C)c3)cc2)cc(C)c1O,Cc1cc(C(C)(C)c2ccc(-c3cc(C)c(OC(=O)c4ccc(C(=O)O)cc4)c(C)c3)cc2)cc(C)c1O,0.5,0.5,498.0
2,Sc1ccccc1,Sc1ccccc1,0.5,0.5,360.0
2,NCCCCCCCCCCCC(=O)O,NCCCCCCCCCCCC(=O)O,0.5,0.5,310.0
2,NCCCCCCCCCCCCN,c1cc(OCC2CO2)cc(OCC2CO2)c1,0.333333,0.666667,334.0
2,C=Cc1cccc(C)c1,C=Cc1cccc(C)c1,0.5,0.5,374.0
2,C=CC(=C)C(C)C,C=CC(=C)C(C)C,0.5,0.5,221.0
2,C=COC(=O)CCl,C=COC(=O)CCl,0.5,0.5,304.0
2,Nc1cc(N)c(N)cc1N,O=C(C(=O)c1ccc(C(=O)C(=O)c2ccccc2)cc1)c1ccccc1,0.5,0.5,668.0
2,Nc1cc(N)c(N)cc1N,O=CC(=O)c1ccc(Oc2ccc(C(=O)C=O)cc2)cc1,0.5,0.5,626.0
2,ClCC1(CCl)COC1,ClCC1(CCl)COC1,0.5,0.5,265.0
2,Nc1cccc(C(=O)c2cccc(N)c2)c1,O=C1OC(=O)c2cc(C(c3ccc4c(c3)C(=O)OC4=O)(C(F)(F)F)C(F)(F)F)ccc21,0.5,0.5,533.0
2,C=COC(=O)C(F)(F)F,C=COC(=O)C(F)(F)F,0.5,0.5,319.0
2,Nc1cccc(N)c1,c1cc(OCC2CO2)ccc1OCC1CO1,0.333333,0.666667,416.0
2,C=Cn1c2ccccc2c2ccccc21,C=Cn1c2ccccc2c2ccccc21,0.5,0.5,423.0
2,C[Si](c1ccccc1)=[Si](C)c1ccccc1,C[Si](c1ccccc1)=[Si](C)c1ccccc1,0.5,0.5,390.0
2,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1,NCCCCCCN,0.666667,0.333333,380.0
